Step_Name,Cleaned_Operation
CZM Preparation step,Preparation step
CZM 五轴磨（可外协）,五轴磨
CZM 包装,包装
CZM 喷砂,喷砂
CZM 微喷砂,微喷砂
CZM 折弯,折弯
CZM 抛光,抛光
CZM 数控车,数控车
CZM 数控车（可外协）,数控车
CZM 数控铣,数控铣
CZM 数控铣（可外协）,数控铣
CZM 无心磨,无心磨
CZM 无心磨（可外协）,无心磨
CZM 氩弧焊,氩弧焊
CZM 注塑,注塑
CZM 涂层（外协）,涂层
CZM 涂色,涂色
CZM 深孔钻,深孔钻
CZM 深孔钻（可外协）,深孔钻
CZM 清洗,清洗
CZM 激光打标,激光打标
CZM 激光焊接,激光焊接
CZM 点钝化,点钝化
CZM 电火花（外协）,电火花
CZM 电解,电解
CZM 电解去氢,电解去氢
CZM 真空热处理,真空热处理
CZM 真空热处理（可外协）,真空热处理
CZM 研磨,研磨
CZM 纵切车,纵切车
CZM 纵切车（可外协）,纵切车
CZM 线切割,线切割
CZM 线切割-慢丝（可外协）,线切割
CZM 线切割（可外协）,线切割
CZM 终检,终检
CZM 装配,装配
CZM 车削,车削
CZM 车削（可外协）,车削
CZM 钝化,钝化
CZM 钳工,钳工
CZM 锯,锯
CZM 锯（可外协）,锯
CZM 镀铬（外协）,镀铬
CZM 阳极氧化（外协）,阳极氧化
CZM 非真空热处理,非真空热处理
,
